unix_timestamp,yaw,pitch,roll
1784700984.301399,-17.76,-21.35,8.95
1784700984.5151424,-17.76,-21.35,8.96
1784700984.7230515,-17.76,-21.35,8.95
1784700984.9172335,-17.76,-21.34,8.96
1784700985.133139,-17.76,-21.35,8.96
1784700985.3323493,-17.75,-21.35,8.95
1784700985.530823,-17.76,-21.35,8.96
1784700985.7394178,-17.76,-21.35,8.95
1784700985.9164402,-17.76,-21.35,8.96
1784700986.364301,-17.76,-21.34,8.96
1784700986.364301,-17.76,-21.35,8.95
1784700986.5729728,-17.75,-21.35,8.95
1784700986.9242353,-17.76,-21.35,8.96
1784700987.107824,-17.75,-21.35,8.95
1784700987.2235768,-17.76,-21.34,8.96
1784700987.4035087,-17.61,-21.29,8.76
1784700987.6471047,-17.81,-21.6,8.95
1784700987.8196864,-17.87,-21.51,8.92
1784700988.0423431,-17.91,-21.53,9.0
1784700988.22312,-17.94,-21.27,9.07
1784700988.4725263,-18.0,-20.83,9.38
1784700988.6709468,-18.0,-20.97,9.33
1784700988.8653471,-18.09,-21.04,9.4
1784700989.0611274,-18.09,-21.06,9.44
1784700989.2607465,-18.18,-21.07,9.42
1784700989.507595,-18.27,-21.35,9.54
1784700989.838476,-18.38,-21.62,9.61
1784700989.9410732,-17.59,-21.85,9.31
1784700990.239899,-17.66,-21.84,9.34
1784700990.4586391,-17.67,-21.84,9.35
1784700990.6565642,-17.74,-21.85,9.37
1784700990.8621657,-17.75,-21.86,9.37
1784700990.9523768,-17.76,-21.86,9.39
1784700991.2748375,-17.84,-21.86,9.41
1784700991.480832,-17.85,-21.87,9.42
1784700991.6781635,-17.9,-21.87,9.45
1784700991.8831475,-17.99,-21.87,9.48
1784700991.9445252,-18.01,-21.88,9.5
1784700992.2995086,-18.12,-21.87,9.54
1784700992.5070558,-18.14,-21.88,9.56
1784700992.5816166,-18.17,-21.89,9.58
1784700992.794417,-18.85,-21.76,9.79
1784700992.9852786,-19.37,-21.65,9.9
1784700993.159752,-19.36,-21.66,10.14
1784700993.374657,-19.45,-21.62,10.11
1784700993.603814,-19.44,-21.62,9.99
1784700993.776987,-19.48,-21.57,10.14
1784700993.9812002,-19.54,-21.59,10.32
1784700994.1971486,-19.64,-21.55,10.09
1784700994.478932,-19.63,-21.56,9.76
1784700994.657248,-19.68,-21.52,9.87
1784700994.8011415,-19.7,-21.52,9.98
1784700995.1659286,-19.75,-21.53,10.09
1784700995.3609169,-20.06,-21.47,10.49
1784700995.5758843,-20.84,-21.28,10.82
1784700995.7678483,-20.64,-21.32,10.73
1784700995.9770796,-20.59,-21.34,10.7
1784700996.1886826,-20.54,-21.36,10.69
1784700996.3987348,-20.54,-21.37,10.69
1784700996.5999699,-20.53,-21.39,10.69
1784700996.8005178,-20.52,-21.4,10.7
1784700997.0077875,-20.52,-21.41,10.7
1784700997.2123406,-20.51,-21.42,10.71
1784700997.421012,-20.51,-21.44,10.71
1784700997.6218739,-20.52,-21.45,10.72
1784700997.8310332,-20.51,-21.45,10.72
1784700997.9987168,-20.51,-21.45,10.72
1784700998.1050704,-20.52,-21.46,10.72
1784700998.2983465,-20.7,-21.5,10.7
1784700998.5400772,-20.62,-21.43,10.67
1784700998.7559338,-20.75,-21.5,10.73
1784700998.978379,-20.66,-21.38,10.72
1784700999.158525,-20.7,-21.25,10.73
1784700999.3185692,-20.83,-21.31,10.63
1784700999.5539412,-20.86,-21.21,10.53
1784700999.7446043,-20.93,-21.49,10.41
1784700999.9784048,-21.16,-21.91,10.47
1784701000.2170568,-21.16,-22.03,10.41
1784701000.3610952,-21.19,-22.02,10.35
1784701000.6906235,-21.27,-21.88,10.47
1784701000.898307,-21.29,-21.84,10.41
1784701001.034263,-21.3,-21.86,10.4
1784701001.305596,-21.3,-21.87,10.39
1784701001.4990742,-21.31,-21.86,10.38
1784701001.7215617,-21.31,-21.86,10.38
1784701001.9224534,-21.31,-21.86,10.38
1784701002.0426886,-21.31,-21.86,10.38
1784701002.3358662,-21.31,-21.87,10.38
1784701002.5218472,-21.32,-21.87,10.38
1784701002.7416222,-21.33,-21.87,10.38
1784701002.9460347,-21.34,-21.87,10.38
1784701003.0652184,-21.34,-21.87,10.38
1784701003.3520129,-21.37,-21.86,10.38
1784701003.4351814,-21.41,-21.84,10.39
1784701003.656679,-21.71,-21.8,10.51
1784701003.8463213,-22.15,-21.75,10.74
1784701004.0676463,-22.06,-21.72,10.56
1784701004.2972596,-22.03,-21.68,10.53
1784701004.4221578,-22.06,-21.68,10.59
1784701004.6373842,-22.18,-21.46,10.42
1784701004.856018,-22.18,-21.49,10.48
1784701005.0359979,-22.2,-21.32,10.89
1784701005.2352514,-22.25,-21.34,10.79
1784701005.469649,-22.25,-21.29,10.71
1784701005.7204509,-22.32,-21.27,10.83
1784701005.8603282,-22.39,-21.23,10.71
1784701006.073881,-22.39,-21.16,10.49
1784701006.2388253,-22.18,-21.17,10.36
1784701006.4391785,-22.19,-21.17,10.37
1784701006.6395462,-22.18,-21.17,10.37
1784701007.0394866,-22.2,-21.17,10.37
1784701007.0489733,-22.23,-21.16,10.38
1784701007.261622,-22.23,-21.16,10.37
1784701007.4600794,-22.24,-21.16,10.37
1784701007.8566227,-22.28,-21.15,10.38
1784701007.8727746,-22.31,-21.14,10.38
1784701008.0738137,-22.31,-21.14,10.38
1784701008.280143,-22.36,-21.13,10.4
1784701008.4749727,-22.4,-21.12,10.4
