unix_timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1784700984.1067603,-0.01536,0.01304,-0.99898,0.00534,0.00404,0.00258
1784700984.301399,-0.01499,0.00835,-0.99689,0.00332,0.00503,0.00723
1784700984.3172157,-0.01106,0.01238,-0.99835,0.00563,0.00355,0.00212
1784700984.5151424,-0.01459,0.01186,-0.99899,0.006,0.00262,0.00609
1784700984.5215302,-0.01377,0.01039,-0.99671,0.0018,0.00638,0.00335
1784700984.7230515,-0.0136,0.00966,-0.99672,0.00439,0.00455,0.00336
1784700984.737408,-0.01521,0.01133,-0.99802,0.00525,0.00539,0.00515
1784700984.9172335,-0.01432,0.01004,-0.99933,0.00266,0.00675,0.00154
1784700984.9172335,-0.01258,0.01192,-0.99661,0.00673,0.00657,0.00197
1784700985.133139,-0.01537,0.00942,-0.99791,0.00577,0.00637,0.00753
1784700985.133139,-0.01341,0.01444,-0.99731,0.00624,0.00406,0.00171
1784700985.3323493,-0.01262,0.00998,-0.9982,0.00533,0.00281,0.00904
1784700985.3323493,-0.01469,0.0115,-0.99836,0.00555,0.00522,0.0063
1784700985.530823,-0.01387,0.01134,-0.99914,0.00498,0.00721,0.00563
1784700985.7394178,-0.01107,0.01104,-0.99712,0.00574,0.00529,0.00563
1784700985.7579372,-0.01243,0.01031,-0.99881,0.00628,0.00511,0.00574
1784700985.9164402,-0.0123,0.01203,-0.99819,0.00599,0.00855,0.00447
1784700985.9323323,-0.01348,0.0121,-0.99682,0.00568,0.00614,0.00398
1784700986.364301,-0.01263,0.01058,-0.99538,0.00575,0.00647,0.00635
1784700986.364301,-0.01453,0.01105,-0.998,0.00758,0.00558,0.00692
1784700986.554517,-0.01329,0.01279,-0.99742,0.0023,0.00455,0.00441
1784700986.554517,-0.01323,0.0092,-0.99792,0.00712,0.00653,0.00654
1784700986.7646654,-0.01328,0.01189,-0.99823,0.00592,0.00712,0.00314
1784700986.9242353,-0.01417,0.01003,-0.99875,0.00434,0.00334,0.00591
1784700986.9242353,-0.01304,0.01293,-0.99776,0.00228,0.00355,0.00227
1784700987.107824,-0.01185,0.01161,-0.99771,0.00742,0.0054,0.00523
1784700987.107824,-0.01495,0.01246,-0.99891,0.002,0.00471,0.0012
1784700987.2739406,0.00362,0.0113,-0.99536,0.00509,0.01307,0.00748
1784700987.3857021,0.27131,0.0426,-0.98966,-0.00652,0.02974,-0.01371
1784700987.4193125,0.24589,0.00052,-0.98197,0.0361,-0.01737,0.0177
1784700987.5766895,0.08172,0.00059,-0.96116,0.02018,-0.02465,0.00212
1784700987.6605408,-0.11138,0.02639,-0.99927,0.018,-0.00236,-0.02068
1784700987.7589614,-0.11841,0.0262,-0.99207,0.00883,0.00814,-0.01706
1784700987.8196864,0.00884,0.00972,-0.97226,0.05318,0.04122,0.00328
1784700987.9380963,0.05298,-0.02872,-1.00739,0.00394,-0.0105,0.04032
1784700988.0423431,-0.01739,-0.00302,-0.99103,-0.01163,-0.0631,0.02627
1784700988.1606767,-0.0679,0.00497,-0.9848,-0.00763,0.06667,0.01067
1784700988.260474,-0.05468,-0.00991,-0.96908,0.00714,0.05657,0.02057
1784700988.3618395,0.01754,0.0113,-1.01605,-0.00825,0.01703,0.01845
1784700988.5436482,0.0267,0.02822,-0.9247,0.11905,0.11485,-0.05217
