unix_timestamp,yaw,pitch,roll
1788787828.7334135,4.04,-2.86,4.57
1788787828.9919872,4.04,-2.86,4.57
1788787829.1839733,4.04,-2.86,4.57
1788787829.4576771,4.04,-2.86,4.57
1788787829.5486195,4.04,-2.86,4.56
1788787829.7547824,4.04,-2.86,4.56
1788787830.0460768,4.04,-2.86,4.57
1788787830.1502566,4.04,-2.86,4.57
1788787830.3579373,4.04,-2.86,4.57
1788787830.571627,4.04,-2.86,4.57
1788787830.7786906,4.04,-2.83,4.58
1788787831.007675,4.05,-2.93,4.59
1788787831.1857362,4.04,-2.87,4.57
1788787831.4420178,3.98,-2.86,4.6
1788787831.633185,4.0,-2.87,4.55
1788787831.887924,4.05,-2.9,4.54
1788787832.01177,4.03,-2.9,4.52
1788787832.1974711,3.95,-2.76,4.52
1788787832.4862008,3.95,-2.91,4.54
1788787832.6627154,3.92,-2.98,4.51
1788787832.8490293,3.89,-3.11,4.52
1788787833.0285296,3.89,-3.2,4.55
1788787833.335538,3.87,-3.31,4.57
1788787833.4693446,3.84,-3.48,4.57
1788787833.6865013,3.82,-3.59,4.58
1788787833.8772726,3.79,-3.79,4.62
1788787834.1195776,3.81,-3.84,4.63
1788787834.2527225,3.8,-3.82,4.61
1788787834.467225,3.82,-3.88,4.56
1788787834.718546,3.81,-3.88,4.56
1788787834.9062877,3.81,-3.88,4.57
1788787835.138665,3.78,-3.9,4.59
1788787835.3268764,3.73,-3.86,4.59
1788787835.5165079,3.71,-3.88,4.58
1788787835.7541335,3.74,-3.91,4.61
1788787835.9392178,3.71,-3.89,4.66
1788787836.1477962,3.67,-3.91,4.66
1788787836.3422933,3.71,-3.93,4.63
1788787836.5688837,3.71,-3.92,4.64
1788787836.756724,3.66,-3.93,4.65
1788787836.947316,3.65,-3.92,4.66
1788787837.136673,3.64,-3.99,4.65
1788787837.4490163,3.63,-3.91,4.63
1788787837.578077,3.64,-3.86,4.65
1788787837.7878144,3.63,-3.82,4.62
1788787837.9536161,3.62,-3.76,4.62
1788787838.1624634,3.58,-3.73,4.63
1788787838.4126003,3.59,-3.72,4.64
1788787838.6473763,3.6,-3.68,4.63
1788787838.7906945,3.6,-3.64,4.66
1788787838.999782,3.59,-3.67,4.63
1788787839.250009,3.58,-3.67,4.63
1788787839.435817,3.55,-3.72,4.62
1788787839.629014,3.57,-3.76,4.61
1788787839.8078144,3.53,-3.78,4.61
1788787840.028536,3.55,-3.81,4.61
1788787840.2342863,3.53,-3.82,4.59
1788787840.4049788,3.48,-3.85,4.58
1788787840.6495872,3.46,-3.84,4.56
1788787840.853973,3.46,-3.86,4.6
1788787841.013782,3.47,-3.9,4.62
1788787841.222017,3.46,-3.91,4.6
1788787841.4741206,3.46,-3.95,4.58
1788787841.7115777,3.44,-3.97,4.63
1788787841.8652468,3.42,-4.0,4.6
1788787842.065938,3.43,-3.94,4.61
1788787842.2823985,3.46,-3.94,4.56
1788787842.4683123,3.42,-3.99,4.58
1788787842.6873288,3.41,-4.0,4.59
1788787842.8727477,3.36,-4.03,4.59
1788787843.0774043,3.35,-4.06,4.57
1788787843.2699625,3.34,-4.08,4.57
1788787843.4708157,3.34,-4.09,4.62
1788787843.6774862,3.32,-4.12,4.66
1788787843.902337,3.28,-4.25,4.74
1788787844.095262,3.27,-4.3,4.75
1788787844.274938,3.29,-4.27,4.78
1788787844.4834535,3.28,-4.28,4.73
1788787844.706704,3.3,-4.27,4.72
1788787844.8890042,3.33,-4.3,4.7
1788787845.1127734,3.29,-4.28,4.71
1788787845.3113348,3.27,-4.26,4.72
1788787845.5343292,3.24,-4.26,4.73
1788787845.7141132,3.19,-4.24,4.71
1788787845.9189265,3.2,-4.25,4.71
1788787846.1321635,3.22,-4.25,4.75
1788787846.3304262,3.19,-4.25,4.78
1788787846.5531812,3.15,-4.26,4.81
1788787846.7531362,3.16,-4.3,4.82
1788787846.968575,3.17,-4.28,4.83
1788787847.143911,3.13,-4.24,4.85
1788787847.3489482,3.15,-4.2,4.83
1788787847.5669508,3.17,-4.21,4.79
1788787847.775503,3.04,-4.22,4.81
1788787847.973735,3.02,-4.2,4.82
1788787848.1929424,3.1,-4.18,4.8
1788787848.3593843,3.1,-4.14,4.8
1788787848.5651171,3.11,-4.15,4.82
1788787848.759318,3.1,-4.23,4.81
1788787849.019457,3.06,-4.27,4.81
1788787849.2068596,3.08,-4.32,4.81
1788787849.4012895,3.06,-4.35,4.85
1788787849.595863,3.03,-4.37,4.83
1788787849.7851512,2.88,-4.39,4.84
1788787850.0142963,3.04,-4.47,4.8
1788787850.225805,3.03,-4.49,4.78
1788787850.4306195,12.77,-5.3,4.16
1788787850.6047966,38.55,-6.74,1.24
1788787850.8470619,67.34,-6.76,-2.15
1788787851.0526505,95.5,-5.17,-5.16
1788787851.2408233,99.65,-4.82,-5.45
1788787851.455891,101.34,-4.78,-5.51
1788787851.6311045,101.91,-4.74,-5.63
1788787851.8323054,102.19,-4.79,-5.62
1788787852.0435688,102.19,-4.8,-5.65
1788787852.2449481,102.18,-4.83,-5.65
1788787852.4727283,102.19,-4.91,-5.66
1788787852.6650722,102.15,-4.94,-5.67
1788787852.8538268,102.18,-4.97,-5.7
1788787853.0982153,102.19,-4.94,-5.7
1788787853.2779562,102.13,-4.92,-5.69
1788787853.4541357,102.08,-4.87,-5.67
1788787853.6558666,102.08,-4.87,-5.65
1788787853.8973165,102.11,-4.82,-5.65
1788787854.0925307,102.09,-4.82,-5.66
1788787854.2639484,102.07,-4.81,-5.7
1788787854.5151684,102.04,-4.79,-5.66
1788787854.704653,102.01,-4.79,-5.59
1788787854.8932486,102.03,-4.83,-5.55
1788787855.0918975,102.03,-4.91,-5.54
1788787855.3121443,102.04,-4.94,-5.54
1788787855.572065,102.04,-4.99,-5.56
1788787855.730038,102.05,-5.04,-5.58
1788787855.9070377,102.03,-5.09,-5.59
1788787856.1306412,102.12,-5.12,-5.6
1788787856.343046,102.04,-5.17,-5.57
1788787856.5330155,102.0,-5.22,-5.56
1788787856.7821124,101.98,-5.27,-5.58
1788787856.9732285,101.97,-5.32,-5.62
1788787857.1385467,101.98,-5.37,-5.58
1788787857.3441966,101.98,-5.4,-5.59
1788787857.5801086,101.92,-5.44,-5.54
1788787857.7560334,101.95,-5.5,-5.56
1788787857.9485102,101.99,-5.48,-5.6
1788787858.1840832,101.95,-5.45,-5.55
1788787858.382667,101.93,-5.34,-5.61
1788787858.5590186,101.92,-5.26,-5.61
1788787858.7656658,101.92,-5.15,-5.63
1788787858.9841897,101.91,-5.09,-5.64
1788787859.2248383,101.89,-5.04,-5.66
1788787859.432193,101.87,-4.96,-5.68
1788787859.6521559,101.75,-4.92,-5.67
1788787859.8192258,101.79,-4.95,-5.52
1788787860.0226855,101.79,-4.98,-5.5
1788787860.197654,101.78,-5.02,-5.44
1788787860.447687,101.8,-5.1,-5.45
1788787860.650275,101.79,-5.17,-5.49
1788787860.8193138,101.8,-5.21,-5.46
1788787861.0539792,101.8,-5.26,-5.48
1788787861.272068,101.73,-5.31,-5.46
1788787861.4968367,101.73,-5.34,-5.48
1788787861.6667907,101.85,-5.38,-5.48
1788787861.846349,101.8,-5.47,-5.49
1788787862.0705657,101.87,-5.46,-5.58
1788787862.2722049,101.56,-5.51,-5.51
1788787862.4960194,101.82,-5.49,-5.56
1788787862.6836786,101.62,-5.59,-5.59
1788787862.8671763,101.76,-5.61,-5.61
1788787863.0930693,101.62,-5.57,-5.62
1788787863.2842414,101.79,-5.5,-5.68
1788787863.5116513,101.67,-5.41,-5.65
1788787863.737659,101.65,-5.34,-5.76
1788787863.8879144,101.59,-5.26,-5.79
1788787864.0922327,101.61,-5.15,-5.85
1788787864.3217125,101.56,-5.08,-5.85
1788787864.5377972,101.52,-5.09,-5.79
1788787864.711963,101.61,-5.14,-5.82
1788787864.934928,101.64,-5.19,-5.78
1788787865.1274385,101.58,-5.21,-5.82
1788787865.3804471,101.47,-5.26,-5.82
1788787865.5566385,101.53,-5.27,-5.85
1788787865.7547305,101.49,-5.24,-5.81
