unix_timestamp,grid_x,grid_y,real_x_m,real_y_m,heading,heading_deg,front_tof_mm,right_ir_cm,left_ir_cm,action
1788780807.270807,0,0,0.0,0.0,0,0,2771,19.06,18.76,GOAL_DISCOVERED
1788780810.8461504,0,1,0.0,0.6,0,0,2145,20.96,16.19,GOAL_DISCOVERED
1788780814.4341817,0,2,0.0,1.2,0,0,1510,16.8,18.76,GOAL_DISCOVERED
1788780817.9658644,0,3,0.0,1.8,0,0,860,16.8,19.37,GOAL_DISCOVERED
1788780821.5388262,0,4,0.0,2.4,0,0,145,22.13,20.02,GOAL_DISCOVERED
1788780826.2502172,1,4,0.6,2.4,1,90,855,30.0,18.76,GOAL_DISCOVERED
1788780829.8480127,2,4,1.2,2.4,1,90,128,30.0,3.0,GOAL_DISCOVERED
1788780834.6500978,2,3,1.2,1.8,2,180,84,15.9,28.42,GOAL_DISCOVERED
1788780839.3820875,3,3,1.8,1.8,1,90,680,30.0,28.64,GOAL_DISCOVERED
1788780842.6082652,4,3,2.4,1.8,1,90,37,30.0,30.0,GOAL_DISCOVERED
1788780847.4175584,4,2,2.4,1.2,2,180,75,14.4,30.0,GOAL_DISCOVERED
1788780852.093438,5,2,3.0,1.2,1,90,237,30.0,30.0,GOAL_DISCOVERED
1788780856.8572583,5,1,3.0,0.6,2,180,4312,19.69,14.52,GOAL_DISCOVERED
1788780860.4066043,5,0,3.0,0.0,2,180,2120,17.04,16.11,GOAL_DISCOVERED
1788780865.0875325,5,1,3.0,0.6,0,0,1071,20.25,14.17,RETRACE
1788780865.5906944,5,1,3.0,0.6,0,0,1066,20.72,14.28,GOAL_DISCOVERED
1788780867.7860658,5,1,3.0,0.6,0,0,195,30.0,30.0,GOAL_DISCOVERED
1788780872.4993,4,1,2.4,0.6,3,270,368,20.25,30.0,GOAL_DISCOVERED
1788780873.5100362,4,1,2.4,0.6,3,270,377,20.36,30.0,GOAL_DISCOVERED
1788780878.1941385,4,0,2.4,0.0,2,180,267,30.0,6.33,GOAL_DISCOVERED
1788780882.9778922,3,0,1.8,0.0,3,270,107,17.29,27.14,GOAL_DISCOVERED
1788780887.634815,4,0,2.4,0.0,1,90,101,15.14,30.0,RETRACE
1788780888.1378958,4,0,2.4,0.0,1,90,285,27.76,30.0,GOAL_DISCOVERED
1788780891.8998084,4,1,2.4,0.6,0,0,259,19.06,30.0,RETRACE
1788780892.4139194,4,1,2.4,0.6,0,0,259,20.96,30.0,GOAL_DISCOVERED
1788780896.1565979,5,1,3.0,0.6,1,90,3889,22.13,12.72,RETRACE
1788780896.6578484,5,1,3.0,0.6,1,90,3868,21.99,12.77,GOAL_DISCOVERED
1788780898.3183377,5,2,3.0,1.2,0,0,138,27.98,30.0,RETRACE
1788780898.8284245,5,2,3.0,1.2,0,0,135,28.2,30.0,GOAL_DISCOVERED
1788780903.5406995,6,2,3.6,1.2,1,90,1125,19.69,14.95,GOAL_DISCOVERED
1788780908.2313938,5,2,3.0,1.2,3,270,3328,21.86,5.35,RETRACE
1788780908.7434886,5,2,3.0,1.2,3,270,3539,27.76,13.31,GOAL_DISCOVERED
1788780914.670297,5,3,3.0,1.8,0,0,4028,16.8,7.85,GOAL_DISCOVERED
