unix_timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1788787828.7155,-0.00079,0.00987,-1.00144,0.00401,0.00537,0.0006
1788787828.7324526,-0.00218,0.00947,-1.00176,0.00328,0.00372,-0.00123
1788787828.9088256,-0.00107,0.01005,-1.00284,0.00134,0.0035,-0.00222
1788787828.9760973,-0.00188,0.00918,-1.00266,0.00504,0.00308,-0.00172
1788787829.1143315,-0.00239,0.00968,-1.00103,0.00348,0.00362,-0.0013
1788787829.1839733,-0.00029,0.00948,-1.00194,0.003,0.00407,0.0005
1788787829.326582,-0.00132,0.00962,-1.00051,0.00465,0.00854,-0.00079
1788787829.4576771,-0.00214,0.00892,-1.00045,0.00489,0.00584,0.00277
1788787829.5486195,-0.00109,0.0096,-1.00171,0.00377,0.005,0.00152
1788787829.662632,-0.0012,0.00932,-1.00024,0.00097,0.00424,0.00071
1788787829.7547824,-0.00187,0.00942,-1.00098,0.00222,0.00536,-0.00134
1788787829.9333248,-0.00169,0.00836,-1.00063,0.00663,0.00574,0.00078
1788787830.0460768,-0.00094,0.0101,-1.00246,0.00387,0.00515,0.00146
1788787830.0460768,-0.00138,0.00974,-1.00169,0.00273,0.00543,-0.00099
1788787830.1502566,-0.00174,0.00945,-1.00178,0.0033,0.00593,0.00105
1788787830.2614236,-0.00018,0.00798,-1.00104,0.00432,0.00668,-0.00089
1788787830.3579373,-0.002,0.00927,-1.00065,0.00708,0.00557,0.00107
1788787830.5634573,-0.00172,0.00996,-1.00162,0.00403,0.0084,0.00133
1788787830.571627,-0.00117,0.00862,-1.00093,0.00335,0.00349,0.00172
1788787830.6605408,0.05442,0.01174,-1.00026,0.00483,0.01546,-0.00021
1788787830.7786906,0.12791,0.00776,-1.00078,0.01296,0.01099,0.00627
1788787830.9066775,0.00799,0.00272,-1.0036,0.0025,0.0042,-0.00783
1788787831.007675,-0.08261,0.01169,-0.9906,0.01607,0.00563,-0.00183
1788787831.122129,-0.05436,0.01402,-0.99965,-0.00087,0.01294,0.00773
1788787831.1857362,0.0477,0.0052,-1.00171,0.00373,0.01598,0.00218
1788787831.3094172,0.04098,-0.00107,-1.00116,0.01505,0.00833,-0.00739
1788787831.4261053,0.00219,0.01649,-0.99988,0.00145,0.00034,-0.00634
1788787831.5107088,-0.04589,0.00406,-1.00109,0.00808,0.02091,-0.01092
1788787831.613053,-0.00608,8e-05,-1.00107,-0.00197,0.00911,0.0074
1788787831.711377,0.02348,0.01799,-0.99494,0.01,0.01391,-0.01386
1788787831.8246455,0.03553,0.0038,-1.0021,-0.00322,0.01475,0.01631
1788787831.938828,-0.00842,0.05028,-0.99114,0.00787,-0.01121,-0.00549
1788787832.01177,-0.01739,0.01614,-1.00267,-0.00449,0.01147,0.00169
1788787832.1330726,-0.04073,0.01587,-1.00386,-0.02421,0.0459,0.03719
1788787832.1974711,0.05159,-0.03418,-1.00002,0.00465,-0.00093,0.01153
1788787832.3174295,0.02273,0.00015,-1.0074,-0.00234,-0.01969,0.02055
1788787832.4862008,-0.02239,0.00721,-0.99174,-0.00301,-0.00443,0.00224
1788787832.5419128,-0.03552,0.00121,-1.00632,-0.00282,-0.01161,0.00647
1788787832.6627154,-0.00027,0.00816,-0.99909,0.01039,0.01323,-0.01182
