unix_timestamp,ir1_raw,irR_cm,ir2_raw,irL_cm
1788787828.7946048,197,18.46,182,20.02
1788787828.9919872,197,18.46,182,20.02
1788787829.326582,196,18.56,181,20.13
1788787829.5486195,203,17.91,182,20.02
1788787829.913778,202,18.0,181,20.13
1788787830.1502566,196,18.56,185,19.69
1788787830.421128,196,18.56,181,20.13
1788787830.6605408,197,18.46,182,20.02
1788787830.842269,202,18.0,188,19.37
1788787831.122129,196,18.56,188,19.37
1788787831.3328652,197,18.46,181,20.13
1788787831.5107088,202,18.0,187,19.47
1788787831.7144263,203,17.91,188,19.37
1788787831.987201,203,17.91,187,19.47
1788787832.1974711,203,17.91,187,19.47
1788787832.4137647,203,17.91,188,19.37
1788787832.6627154,203,17.91,194,18.76
1788787832.8969734,203,17.91,182,20.02
1788787833.1439962,196,18.56,176,20.72
1788787833.4215589,197,18.46,177,20.6
1788787833.6536593,191,19.06,176,20.72
1788787833.8431954,191,19.06,175,20.84
1788787834.1195776,191,19.06,176,20.72
1788787834.3329825,195,18.66,176,20.72
1788787834.5308087,190,19.16,176,20.72
1788787834.7613528,191,19.06,180,20.25
1788787835.0223534,191,19.06,175,20.84
1788787835.2353325,191,19.06,176,20.72
1788787835.4459927,191,19.06,175,20.84
1788787835.642564,191,19.06,176,20.72
1788787835.9302692,190,19.16,176,20.72
1788787836.163828,191,19.06,177,20.6
1788787836.352854,190,19.16,176,20.72
1788787836.5688837,191,19.06,175,20.84
1788787836.756724,191,19.06,175,20.84
1788787836.947316,190,19.16,176,20.72
1788787837.136673,191,19.06,176,20.72
1788787837.4490163,191,19.06,176,20.72
1788787837.6740825,179,20.36,175,20.84
1788787837.870287,191,19.06,176,20.72
1788787838.0494227,191,19.06,182,20.02
1788787838.2837543,191,19.06,182,20.02
1788787838.5205503,191,19.06,182,20.02
1788787838.7906945,192,18.96,181,20.13
1788787838.9671311,196,18.56,181,20.13
1788787839.173161,191,19.06,181,20.13
1788787839.377252,191,19.06,181,20.13
1788787839.6132357,185,19.69,175,20.84
1788787839.8078144,185,19.69,176,20.72
1788787840.04741,191,19.06,182,20.02
1788787840.2477667,185,19.69,182,20.02
1788787840.450067,186,19.58,174,20.96
1788787840.6495872,185,19.69,176,20.72
1788787840.9019487,185,19.69,176,20.72
1788787841.1151865,185,19.69,175,20.84
1788787841.4139836,185,19.69,176,20.72
1788787841.6535816,185,19.69,176,20.72
1788787841.873114,185,19.69,175,20.84
1788787842.07331,185,19.69,176,20.72
1788787842.2823985,185,19.69,175,20.84
1788787842.5053964,185,19.69,176,20.72
1788787842.703288,184,19.8,171,21.33
1788787842.8925395,191,19.06,188,19.37
1788787843.0940623,184,19.8,187,19.47
1788787843.3345737,185,19.69,188,19.37
1788787843.6143734,185,19.69,195,18.66
1788787843.8398993,185,19.69,194,18.76
1788787844.07924,186,19.58,199,18.27
1788787844.274938,191,19.06,200,18.18
1788787844.4834535,191,19.06,199,18.27
1788787844.706704,190,19.16,200,18.18
1788787844.9374478,197,18.46,206,17.64
1788787845.1332064,191,19.06,206,17.64
1788787845.3437226,197,18.46,213,17.04
1788787845.5499985,197,18.46,213,17.04
1788787845.7586951,197,18.46,212,17.13
1788787845.9999309,197,18.46,219,16.57
1788787846.2658854,197,18.46,220,16.49
1788787846.470175,203,17.91,225,16.11
1788787846.7345188,202,18.0,225,16.11
1788787847.0162344,203,17.91,231,15.68
1788787847.2284417,203,17.91,230,15.75
1788787847.470865,190,19.16,237,15.28
1788787847.668587,5,30.0,242,14.95
1788787847.8721926,18,30.0,242,14.95
1788787848.1274245,138,26.54,225,16.11
1788787848.3593843,170,21.46,230,15.75
1788787848.5651171,149,24.55,225,16.11
1788787848.759318,160,22.83,231,15.68
1788787849.019457,167,21.86,229,15.82
1788787849.2323058,161,22.69,236,15.34
1788787849.4325223,162,22.54,236,15.34
1788787849.6120946,161,22.69,243,14.89
1788787849.7851512,155,23.58,236,15.34
1788787850.0024896,155,23.58,237,15.28
1788787850.270032,155,23.58,231,15.68
1788787850.47453,185,19.69,225,16.11
1788787850.7351043,144,25.41,188,19.37
1788787850.988241,156,23.43,218,16.64
1788787851.190717,203,17.91,223,16.26
1788787851.3865666,190,19.16,218,16.64
1788787851.6311045,191,19.06,214,16.96
1788787851.859011,204,17.82,212,17.13
1788787852.0516362,210,17.29,206,17.64
1788787852.2518134,210,17.29,205,17.73
1788787852.424585,203,17.91,199,18.27
1788787852.6650722,221,16.41,200,18.18
1788787852.9155169,228,15.9,198,18.37
1788787853.1141071,323,11.1,188,19.37
1788787853.342588,551,6.33,205,17.73
1788787853.5976484,297,12.11,188,19.37
1788787853.788824,280,12.87,188,19.37
1788787854.089534,284,12.68,181,20.13
1788787854.3248944,209,17.38,176,20.72
1788787854.5316606,274,13.16,174,20.96
1788787854.704653,251,14.4,170,21.46
1788787854.9091759,228,15.9,164,22.26
1788787855.0918975,210,17.29,165,22.13
1788787855.2653604,197,18.46,158,23.12
1788787855.4737315,185,19.69,159,22.98
1788787855.721529,179,20.36,152,24.05
1788787855.9548938,161,22.69,152,24.05
1788787856.220993,156,23.43,146,25.06
1788787856.4514146,144,25.41,146,25.06
1788787856.6994789,138,26.54,139,26.34
1788787856.9089227,125,29.34,135,27.14
1788787857.1385467,119,30.0,135,27.14
1788787857.3441966,120,30.0,129,28.42
1788787857.5930152,114,30.0,128,28.64
1788787857.8197749,108,30.0,122,30.0
1788787858.0682878,101,30.0,118,30.0
1788787858.2707171,106,30.0,135,27.14
1788787858.504556,96,30.0,128,28.64
1788787858.749678,94,30.0,128,28.64
1788787859.029536,89,30.0,134,27.34
1788787859.2321162,84,30.0,135,27.14
1788787859.5311012,83,30.0,146,25.06
1788787859.8192258,83,30.0,158,23.12
1788787860.086903,72,30.0,170,21.46
1788787860.3216634,77,30.0,182,20.02
1788787860.586478,71,30.0,200,18.18
1788787860.803205,71,30.0,213,17.04
1788787861.0697029,71,30.0,241,15.02
1788787861.320301,71,30.0,270,13.36
1788787861.5859823,71,30.0,295,12.19
1788787861.7916179,65,30.0,312,11.5
1788787862.0189693,72,30.0,323,11.1
1788787862.2588341,71,30.0,352,10.15
1788787862.4960194,65,30.0,381,9.34
1788787862.699112,71,30.0,417,8.5
1788787862.9106102,65,30.0,438,8.07
1788787863.1649857,71,30.0,462,7.63
1788787863.4074783,82,30.0,496,7.08
1788787863.635735,71,30.0,524,6.68
1788787863.9039264,71,30.0,579,6.0
1788787864.1569483,71,30.0,633,5.46
1788787864.3463306,59,30.0,664,5.18
1788787864.5519197,65,30.0,699,4.9
1788787864.7716503,66,30.0,656,5.25
1788787864.999754,71,30.0,727,4.7
1788787865.183049,70,30.0,727,4.7
1788787865.3933296,65,30.0,726,4.7
1788787865.6220999,65,30.0,726,4.7
1788787865.8803806,71,30.0,729,4.68
1788787866.0849087,71,30.0,728,4.69
1788787866.2817674,71,30.0,727,4.7
1788787866.4902437,70,30.0,727,4.7
1788787866.6872873,71,30.0,727,4.7
1788787866.89146,65,30.0,729,4.68
1788787867.1374102,77,30.0,726,4.7
1788787867.4128933,65,30.0,728,4.69
1788787867.6815114,71,30.0,728,4.69
1788787867.9931393,65,30.0,729,4.68
1788787868.2125645,65,30.0,728,4.69
1788787868.4523356,71,30.0,729,4.68
1788787868.6527967,77,30.0,697,4.92
1788787868.9342484,64,30.0,729,4.68
1788787869.1929088,65,30.0,727,4.7
1788787869.4499195,71,30.0,728,4.69
1788787869.6301048,71,30.0,727,4.7
1788787869.8843598,71,30.0,715,4.78
1788787870.1105745,71,30.0,700,4.89
1788787870.2795596,71,30.0,690,4.97
1788787870.51639,71,30.0,659,5.22
1788787870.7900877,71,30.0,633,5.46
1788787870.9790971,77,30.0,619,5.59
1788787871.246186,71,30.0,601,5.77
1788787871.477089,77,30.0,579,6.0
1788787871.68348,66,30.0,558,6.25
1788787871.8704226,71,30.0,540,6.47
1788787872.0710306,70,30.0,524,6.68
1788787872.3174531,60,30.0,516,6.79
1788787872.5168753,53,30.0,507,6.92
1788787872.7668498,83,30.0,478,7.36
1788787873.011755,148,24.72,445,7.94
1788787873.2308216,189,19.26,417,8.5
1788787873.407824,210,17.29,394,9.02
1788787873.6465793,202,18.0,368,9.69
1788787873.8456254,167,21.86,352,10.15
1788787874.1113794,131,27.98,323,11.1
1788787874.2904928,119,30.0,312,11.5
1788787874.5025868,114,30.0,307,11.7
1788787874.7446709,119,30.0,301,11.94
1788787874.936855,71,30.0,193,18.85
1788787875.1914816,101,30.0,219,16.57
1788787875.3866913,113,30.0,254,14.23
1788787875.626307,115,30.0,266,13.56
1788787875.855818,118,30.0,284,12.68
1788787876.042828,114,30.0,289,12.45
1788787876.2304132,118,30.0,290,12.41
1788787876.466223,114,30.0,301,11.94
1788787876.711644,114,30.0,301,11.94
1788787876.9248958,119,30.0,305,11.78
1788787877.219196,121,30.0,317,11.32
1788787877.525878,114,30.0,318,11.28
1788787877.7453785,126,29.1,323,11.1
1788787877.9519923,114,30.0,329,10.89
1788787878.1491563,108,30.0,341,10.49
1788787878.3454485,107,30.0,347,10.3
1788787878.5501037,101,30.0,353,10.12
1788787878.7368762,102,30.0,357,10.0
1788787878.9244418,101,30.0,364,9.8
1788787879.2251039,105,30.0,358,9.97
1788787879.4701333,102,30.0,365,9.77
1788787879.7000434,102,30.0,375,9.5
1788787879.906609,102,30.0,386,9.22
1788787880.1112857,101,30.0,400,8.88
1788787880.3277686,101,30.0,406,8.74
1788787880.537905,102,30.0,410,8.65
1788787880.7301834,96,30.0,422,8.4
1788787880.9271777,88,30.0,439,8.05
1788787881.1511884,95,30.0,443,7.98
1788787881.4030635,95,30.0,456,7.74
1788787881.5824764,89,30.0,467,7.55
1788787881.7853532,89,30.0,473,7.44
1788787882.0079052,89,30.0,473,7.44
1788787882.2115724,89,30.0,490,7.17
1788787882.4049196,90,30.0,496,7.08
1788787882.5987816,101,30.0,501,7.01
1788787882.7851934,100,30.0,519,6.75
1788787882.983799,96,30.0,529,6.61
1788787883.2026613,95,30.0,612,5.66
1788787883.4371347,96,30.0,633,5.46
1788787883.6035445,96,30.0,633,5.46
1788787883.8252828,102,30.0,622,5.56
1788787884.03121,101,30.0,607,5.71
1788787884.3223407,101,30.0,596,5.82
1788787884.6289399,108,30.0,594,5.84
1788787884.8911233,114,30.0,551,6.33
1788787885.0866551,114,30.0,260,13.89
1788787885.2637343,144,25.41,242,14.95
1788787885.4695256,142,25.78,272,13.26
1788787885.7269788,125,29.34,278,12.96
1788787885.927455,126,29.1,272,13.26
1788787886.1642761,125,29.34,266,13.56
1788787886.3461924,138,26.54,260,13.89
1788787886.5468414,131,27.98,253,14.28
1788787886.7715557,120,30.0,190,19.16
1788787886.9835496,130,28.2,181,20.13
1788787887.2017732,148,24.72,224,16.19
1788787887.4518178,150,24.38,243,14.89
1788787887.6942506,148,24.72,247,14.64
1788787887.9304967,143,25.59,255,14.17
1788787888.1740775,143,25.59,254,14.23
1788787888.4295175,144,25.41,265,13.62
1788787888.687279,137,26.73,266,13.56
1788787888.9901886,144,25.41,265,13.62
1788787889.2785277,143,25.59,272,13.26
1788787889.582456,138,26.54,272,13.26
1788787889.8358803,137,26.73,272,13.26
1788787890.1319897,138,26.54,271,13.31
1788787890.4106057,138,26.54,214,16.96
