unix_timestamp,x,y,z
1788787829.1208594,0.0,0.0,0.0
1788787830.1502566,-3e-05,-3e-05,0.0
1788787831.1857362,0.061,0.0052,0.0
1788787832.1974711,0.18632,0.01431,0.0
1788787833.2622104,0.30641,0.02287,0.0
1788787834.2527225,0.42812,0.02923,0.0
1788787835.2908561,0.54503,0.03687,0.0
1788787836.3411515,0.67118,0.0457,0.0
1788787837.3841817,0.7912,0.05371,0.0
1788787838.394474,0.91967,0.0615,0.0
1788787839.377252,1.04012,0.06913,0.0
1788787840.4049788,1.16489,0.07635,0.0
1788787841.4264278,1.28417,0.08288,0.0
1788787842.4521554,1.41089,0.08974,0.0
1788787843.4708157,1.53086,0.09946,0.0
1788787844.4834535,1.65007,0.10602,0.0
1788787845.5142014,1.76815,0.11272,0.0
1788787846.5374248,1.89407,0.12104,0.0
1788787847.5669508,2.01201,0.12778,0.0
1788787848.5651171,2.13939,0.13961,0.0
1788787849.595863,2.25932,0.14695,0.0
1788787850.6047966,2.35213,0.15277,0.0
1788787851.6311045,2.34167,0.23151,0.0
1788787852.6650722,2.32116,0.34705,0.0
1788787853.6558666,2.29797,0.46552,0.0
1788787854.704653,2.27145,0.58876,0.0
1788787855.721529,2.24766,0.70618,0.0
1788787856.6994789,2.22042,0.82622,0.0
1788787857.7560334,2.19543,0.94305,0.0
1788787858.7656658,2.17049,1.06455,0.0
1788787859.8192258,2.14435,1.18315,0.0
1788787860.8193138,2.11975,1.30733,0.0
1788787861.846349,2.08645,1.42276,0.0
1788787862.866176,2.02368,1.54871,0.0
1788787863.8879144,1.95001,1.67884,0.0
1788787864.934928,1.86985,1.8164,0.0
1788787865.9448812,1.78767,1.95806,0.0
1788787866.9548793,1.70677,2.09254,0.0
1788787867.9931393,1.62189,2.23122,0.0
1788787868.9659708,1.54126,2.36854,0.0
1788787869.999396,1.46218,2.50437,0.0
1788787871.0596302,1.37852,2.64808,0.0
1788787872.030709,1.29947,2.7823,0.0
1788787873.1069846,1.22274,2.92137,0.0
1788787874.0966983,1.15666,3.04524,0.0
1788787875.1264179,1.128,3.11851,0.0
1788787876.1529477,1.00554,3.15054,0.0
1788787877.151747,0.87656,3.15922,0.0
1788787878.2090623,0.74711,3.16552,0.0
1788787879.2251039,0.60368,3.16977,0.0
1788787880.2275426,0.46465,3.16851,0.0
1788787881.23251,0.31796,3.1677,0.0
1788787882.2778392,0.16238,3.16568,0.0
1788787883.27957,0.00973,3.16515,0.0
1788787884.3223407,-0.15383,3.16067,0.0
1788787885.3467984,-0.21574,3.15929,0.0
1788787886.3461924,-0.20742,3.03905,0.0
1788787887.371574,-0.16819,3.01536,0.0
1788787888.4295175,-0.05511,3.00528,0.0
1788787889.4215431,0.06409,3.00551,0.0
