unix_timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1784519743.7645864,-0.00875,0.01054,-0.99742,0.00447,0.00291,0.00496
1784519743.9661076,-0.00787,0.01168,-0.99763,0.00442,0.0029,0.00409
1784519743.980056,-0.01001,0.01167,-0.99601,0.00532,0.00494,0.0037
1784519744.174893,-0.00805,0.01091,-0.99722,0.00458,0.00355,0.00507
1784519744.1812067,-0.00798,0.01102,-0.99806,0.00396,0.00588,0.00345
1784519744.376179,-0.01018,0.01072,-0.99722,0.00393,0.00332,0.00483
1784519744.3830986,-0.00764,0.01019,-0.99617,0.00386,0.0049,0.00561
1784519744.5836887,-0.00875,0.00976,-0.99535,0.0034,0.00576,0.00788
1784519744.7918038,-0.00894,0.01138,-0.99768,0.00644,0.00333,0.00365
1784519744.806986,-0.00765,0.01052,-0.99769,0.00652,0.00221,0.00577
1784519744.9807885,-0.00757,0.01242,-0.9976,0.00516,0.00459,0.00212
1784519745.1942308,-0.00816,0.00969,-0.99666,0.00327,0.00548,0.00762
1784519745.1942308,0.2303,0.03163,-1.00946,-0.06769,0.01874,-0.00494
1784519745.4032464,0.25966,0.0216,-1.01013,0.01476,-0.01386,-0.0786
1784519745.6117613,-0.0878,0.01707,-0.96883,0.01566,0.09864,0.03192
1784519745.8126256,0.01648,0.00761,-1.05763,-0.01507,-0.02768,0.00694
1784519746.014554,0.07245,0.01225,-1.00942,-0.01277,-0.05196,0.02732
1784519746.2224102,-0.05353,0.0089,-0.95637,0.04552,0.05995,0.00033
1784519746.2224102,-0.04111,0.03605,-0.97237,0.05329,0.05405,-0.02573
1784519746.423054,0.00686,0.01691,-1.03905,-0.02944,-0.04128,0.02053
1784519746.423054,0.00817,0.0191,-1.00834,0.0882,-0.01574,0.01985
1784519746.6132596,-0.00583,-0.00239,-1.02604,0.0124,-0.00438,0.01321
1784519746.8379135,-0.01506,0.02498,-0.99863,-0.00776,-0.03049,-0.00077
1784519747.0318346,-0.00073,0.01399,-1.00001,-0.0035,0.05041,-0.02173
1784519747.0318346,-0.0138,0.00826,-0.98793,0.01524,0.05571,-0.0067
1784519747.2459774,-0.03138,0.02434,-1.01594,-0.02724,-0.00056,-0.00268
1784519747.2564268,-0.01068,0.02502,-0.97698,-0.01364,0.01754,-0.0019
1784519747.4480062,-0.01016,-0.00504,-1.06071,0.0275,-0.00395,0.01283
1784519747.4480062,-0.00092,0.01108,-0.98949,0.01472,-0.02868,0.00621
1784519747.6182673,-0.00823,0.02409,-1.00392,-0.0512,-0.01764,6e-05
1784519747.649922,-0.02147,0.01979,-0.99885,0.02323,0.01548,-0.02007
1784519747.8483367,-0.01928,0.01073,-1.00519,-0.01115,-0.05872,0.03319
1784519747.9437122,-0.0164,0.00947,-0.99757,-0.031,0.04218,0.02726
1784519748.0618892,-0.03049,-0.00169,-1.00355,0.02901,-0.00113,0.01026
1784519748.2657845,-0.24966,-0.00995,-1.01738,-0.03899,-0.09253,0.02338
1784519748.2657845,-0.28461,0.0188,-0.99437,0.02674,-0.01823,-0.01919
1784519748.4692605,-0.25604,0.0203,-0.99179,0.00568,0.01525,-0.03339
1784519748.4692605,-0.14566,-0.00678,-0.99428,0.00168,-0.0044,0.03491
1784519748.631374,0.02238,0.01468,-0.99926,0.00967,0.01215,0.02223
1784519748.6799881,0.00714,0.01081,-0.9966,0.00833,0.0013,0.008
1784519748.8814938,-0.01498,0.01804,-0.99616,0.00232,0.00373,0.00301
1784519749.0900424,-0.01795,0.01404,-0.99689,0.00501,0.0023,0.00625
1784519749.1042583,-0.01349,0.02839,-0.99704,0.00278,0.00488,-0.01193
1784519749.2982254,-0.01669,0.01594,-0.99636,0.00349,0.00414,0.00349
1784519749.3057377,-0.01921,-0.0003,-0.9964,0.00327,0.00443,0.02108
1784519749.4968662,-0.02092,-0.00258,-0.99682,0.00632,0.00384,0.02531
1784519749.4968662,-0.01898,0.00046,-0.99697,0.00476,0.00589,0.0255
