unix_timestamp,yaw,pitch,roll
1784521425.358614,-175.46,-3.62,2.16
1784521425.7429686,-175.46,-3.63,2.16
1784521425.944299,-175.46,-3.62,2.16
1784521425.957838,-175.46,-3.63,2.15
1784521426.3540294,-175.46,-3.62,2.16
1784521426.3606982,-175.46,-3.63,2.16
1784521426.5653994,-175.47,-3.67,2.13
1784521426.7754588,-175.51,-3.76,2.18
1784521426.9858177,-175.57,-3.73,2.13
1784521427.381636,-175.67,-3.8,2.14
1784521427.5860782,-175.72,-3.79,2.13
1784521427.5970347,-175.79,-3.85,2.19
1784521427.7926984,-175.82,-3.85,2.21
1784521428.0015209,-175.88,-3.9,2.21
1784521428.20687,-175.97,-3.92,2.21
1784521428.488169,-175.98,-3.96,2.21
1784521428.6180604,-176.02,-4.01,2.23
1784521428.8240285,-176.11,-4.01,2.2
1784521429.0162008,-176.17,-4.03,2.23
1784521429.4149945,-176.28,-4.04,2.25
1784521429.439523,-176.36,-3.94,2.29
1784521429.6436245,-176.41,-3.94,2.24
1784521429.8470364,-176.41,-3.94,2.24
1784521430.0455382,-176.46,-3.9,2.27
1784521430.2435565,-176.59,-3.84,2.31
1784521430.4587002,-176.54,-3.8,2.27
1784521430.657789,-176.64,-3.77,2.3
1784521430.8592274,-176.68,-3.75,2.32
1784521431.0522428,-176.76,-3.7,2.35
1784521431.2854347,-176.81,-3.68,2.35
1784521431.477421,-176.86,-3.74,2.35
1784521431.6771364,-176.91,-3.77,2.38
1784521431.8836663,-177.0,-3.79,2.38
1784521432.094403,-177.08,-3.78,2.45
1784521432.3030534,-177.15,-3.8,2.44
1784521432.4994626,-177.15,-3.82,2.45
1784521432.7138934,-177.18,-3.88,2.43
1784521432.9200356,-177.29,-3.91,2.48
1784521433.1286042,-177.36,-3.91,2.49
1784521433.321376,-177.39,-3.94,2.48
1784521433.527357,-177.45,-3.98,2.5
1784521433.7316754,-177.52,-4.0,2.52
1784521433.9304962,-177.57,-4.02,2.52
1784521434.1423995,-177.56,-4.02,2.54
1784521434.345335,-177.57,-4.0,2.56
1784521434.5476484,-177.57,-4.01,2.56
1784521434.7560134,-177.57,-4.01,2.56
1784521434.9567862,-177.57,-4.02,2.56
1784521435.1568072,-177.57,-4.03,2.57
