unix_timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1784519480.7999713,-0.01195,0.01103,-0.99473,0.0043,0.00229,0.00648
1784519480.7999713,-0.0094,0.01244,-0.99748,0.00365,0.00387,0.00621
1784519480.8130913,-0.01102,0.01045,-0.99628,0.00631,0.00371,0.00503
1784519481.0138977,-0.01318,0.01151,-0.99755,0.00345,0.00245,0.00353
1784519481.0176215,-0.00963,0.01267,-0.9978,0.00661,0.00387,0.00415
1784519481.2176983,-0.01083,0.01034,-0.99871,0.00653,0.00383,0.00791
1784519481.2176983,-0.01292,0.01102,-0.99666,0.00208,0.00271,0.00649
1784519481.4260516,-0.01198,0.01099,-0.99686,0.00685,0.00424,0.00515
1784519481.627713,-0.01042,0.01183,-0.99773,0.00403,0.00422,0.00394
1784519481.8291934,-0.0125,0.01187,-0.99827,0.0053,0.00496,0.00227
1784519481.8291934,-0.01267,0.00987,-0.99756,0.00576,0.00422,0.00709
1784519482.0255723,-0.01095,0.01141,-0.9967,0.00575,0.006,0.00497
1784519482.2361922,-0.01061,0.01116,-0.99777,0.00733,0.00277,0.00445
1784519482.4251106,-0.013,0.01271,-0.99554,0.00158,0.00584,0.00751
1784519482.4370904,-0.01054,0.01059,-0.99565,0.00609,0.00294,0.00603
1784519482.6406362,-0.01195,0.01136,-0.99774,0.00211,0.0066,0.00664
1784519482.653345,-0.01031,0.01147,-0.99853,0.00627,0.00432,0.0033
1784519482.8494842,-0.00932,0.01193,-0.99797,0.00292,0.00398,0.00693
1784519482.8494842,-0.01225,0.01194,-0.99586,0.00408,0.00427,0.00379
1784519483.0502188,-0.01116,0.00901,-0.99766,0.00489,0.00622,0.01012
1784519483.267858,-0.01336,0.0103,-0.99885,0.00327,0.00447,0.00908
1784519483.2698603,-0.0108,0.01155,-0.99714,0.00431,0.00344,0.00645
1784519483.4343863,-0.0108,0.01197,-0.99745,0.00471,0.00471,0.00508
1784519483.4662728,-0.01179,0.00984,-0.99585,0.0044,0.00385,0.00571
1784519483.6618505,-0.01358,0.01239,-0.99744,0.00533,0.00225,0.00737
1784519483.6774492,-0.01013,0.01122,-0.99819,0.00617,0.00426,0.00382
1784519483.877902,-0.01253,0.01177,-0.99811,0.00408,0.00491,0.00501
1784519484.086234,-0.01078,0.01128,-0.99663,0.00496,0.00546,0.00651
1784519484.2826583,-0.01038,0.01236,-0.99742,0.00498,0.00322,0.0065
1784519484.4479349,-0.01343,0.01398,-0.99791,0.00379,0.00107,0.00538
1784519484.6997998,-0.01197,0.01309,-0.99687,0.0045,0.00595,0.00663
1784519484.8961525,-0.01172,0.01313,-0.9967,0.00641,0.00403,0.00088
1784519485.1054838,-0.01154,0.01204,-0.99721,0.00486,0.00361,0.00534
1784519485.307702,-0.01238,0.0118,-0.99674,0.00464,0.00538,0.00653
1784519485.4516773,-0.01209,0.01178,-0.99664,0.00444,0.00547,0.00517
1784519485.503499,-0.01032,0.01354,-0.99613,0.00701,0.00289,0.0025
1784519485.7190034,-0.01325,0.0116,-0.99658,0.00541,0.00986,0.007
1784519485.9243233,-0.01067,0.0108,-0.99828,0.00515,0.00332,0.00691
1784519486.120597,-0.01219,0.01337,-0.99795,0.00245,0.00415,0.00437
1784519486.3371763,-0.01172,0.01158,-0.99784,0.0039,0.00366,0.00761
1784519486.4573402,-0.00935,0.01391,-0.99671,0.00511,0.00439,0.00405
1784519486.5419486,-0.01324,0.01079,-0.99772,0.0066,0.00368,0.00729
1784519486.732593,-0.01168,0.01265,-0.9979,0.00253,0.00516,0.00445
1784519486.764929,-0.00994,0.01215,-0.99672,0.00599,0.00416,0.00299
1784519486.9416158,-0.0112,0.01176,-0.99815,0.00515,0.00326,0.006
1784519486.9576435,-0.01158,0.01248,-0.99712,0.00883,0.00411,0.00536
1784519487.1578841,-0.0117,0.00887,-0.99829,0.00466,0.00377,0.00843
1784519487.3534136,-0.01234,0.01056,-0.9987,0.00173,0.00381,0.00852
1784519487.469126,-0.01154,0.01132,-0.99671,0.00594,0.00229,0.00534
1784519487.5652945,-0.01166,0.01113,-0.99807,0.00312,0.00548,0.00559
1784519487.7649956,-0.01176,0.01186,-0.99751,0.00525,0.00406,0.00634
1784519487.974203,-0.01177,0.01296,-0.99672,0.00413,0.00493,0.00643
1784519488.1782644,-0.01197,0.01293,-0.99787,0.00387,0.00412,0.00321
1784519488.387027,-0.00991,0.01334,-0.99679,0.00523,0.0026,0.00384
1784519488.4759626,-0.0106,0.01157,-0.99811,0.00631,0.00331,0.00597
1784519488.5899615,-0.01203,0.01055,-0.99537,0.00238,0.0044,0.00471
1784519488.791901,-0.01061,0.01235,-0.99721,0.00081,0.00502,0.00581
1784519488.8031344,-0.01145,0.01309,-1.00012,0.00257,0.00015,0.0025
1784519488.9960792,-0.01315,0.01078,-0.9975,0.00472,0.00358,0.00831
1784519488.9960792,-0.01002,0.01289,-0.99539,0.00406,0.0029,0.00503
1784519489.194113,-0.0123,0.01212,-0.99698,0.00556,0.00454,0.00513
1784519489.4032166,-0.01253,0.01234,-0.99835,0.00512,0.00676,0.00613
1784519489.483138,-0.01045,0.01146,-0.99781,0.00365,0.00387,0.00479
1784519489.6038973,-0.01231,0.01005,-0.99883,0.00192,0.0034,0.00587
1784519489.8169358,-0.01242,0.01221,-0.99844,0.00891,0.00163,0.00356
1784519489.8169358,-0.01105,0.01149,-0.99608,0.00314,-0.00011,0.00625
1784519490.0259185,-0.0126,0.01036,-0.99519,0.00606,0.00373,0.00658
1784519490.0376587,-0.00999,0.01234,-0.99582,0.00575,0.00272,0.00491
1784519490.194399,-0.01238,0.01074,-0.99627,0.00419,0.00541,0.00469
1784519490.194399,-0.01128,0.01138,-0.99785,0.00421,0.00228,0.00479
1784519490.4302661,-0.01104,0.01145,-0.99602,0.00444,0.00253,0.00585
1784519490.4318187,-0.01243,0.01278,-0.99705,0.00344,0.00379,0.00351
1784519490.478642,-0.01152,0.01146,-0.99608,0.00592,0.00401,0.00502
1784519490.6362839,-0.01082,0.01212,-0.99551,0.00625,0.00155,0.00553
1784519490.8389595,-0.0129,0.01124,-0.9982,0.00319,0.00178,0.0051
1784519490.8389595,-0.01149,0.01294,-0.99773,0.00564,0.00457,0.00562
1784519490.8473847,-0.01085,0.01035,-0.99596,0.006,0.00627,0.00657
1784519491.049038,-0.01216,0.0105,-0.99678,0.00474,0.00304,0.00659
1784519491.242367,-0.01166,0.01099,-0.99651,0.00496,0.00423,0.00852
1784519491.242367,-0.01192,0.01318,-0.99866,0.00629,0.00494,0.00383
1784519491.4570742,-0.01212,0.01178,-0.99724,0.00328,0.00256,0.00455
1784519491.4859817,-0.01282,0.01103,-0.99874,0.00597,0.00658,0.00732
1784519491.6546907,-0.0118,0.01317,-0.99756,0.00409,0.00438,0.00397
1784519491.8626492,-0.00922,0.01086,-0.9972,0.00414,0.00092,0.0064
1784519491.87836,-0.01186,0.01098,-0.99659,0.00265,0.00285,0.00761
1784519492.0724044,-0.01128,0.01122,-0.99634,0.00546,0.00705,0.00827
1784519492.0774415,-0.01283,0.01276,-0.99639,0.00545,0.00425,0.00574
1784519492.2497525,-0.01179,0.01203,-0.99579,0.00205,0.00357,0.00303
1784519492.28176,-0.00981,0.0102,-0.99715,0.0045,0.00303,0.00632
1784519492.4787872,-0.01289,0.01105,-0.99686,0.00248,0.00565,0.00542
1784519492.48079,-0.01078,0.01211,-0.9964,0.0029,0.00339,0.00735
1784519492.5966983,-0.01028,0.01149,-0.99712,0.00439,0.00387,0.00525
1784519492.6995196,-0.01226,0.01153,-0.99559,0.00561,0.00191,0.0064
1784519492.8847327,-0.01181,0.01345,-0.99574,0.00495,0.00394,0.00605
1784519492.8847327,-0.01108,0.00976,-0.99736,0.00541,0.00515,0.00766
1784519493.0958586,-0.01294,0.01212,-0.99806,0.00289,0.00509,0.00631
1784519493.0958586,-0.01124,0.01331,-0.99861,0.00316,0.00325,0.00315
1784519493.3041291,-0.01457,0.01238,-0.99621,0.0073,0.00049,0.00332
1784519493.5004425,-0.01179,0.01102,-0.99872,0.00813,0.00404,0.00807
1784519493.7061799,-0.00971,0.01098,-0.99595,0.00494,0.00788,0.00467
1784519493.7223268,-0.01332,0.01121,-0.99761,0.00363,0.00227,0.00391
1784519493.9150307,-0.0108,0.01308,-0.99639,0.00625,0.00491,0.00363
1784519494.122601,-0.01164,0.01261,-0.99646,0.00577,0.0023,0.00411
1784519494.327595,-0.01307,0.01243,-0.9974,0.00593,0.00283,0.00611
1784519494.52739,-0.01113,0.01137,-0.99577,0.00254,0.00341,0.00659
1784519494.740334,-0.01178,0.01113,-0.99695,0.00372,0.00418,0.00393
1784519494.740334,-0.01228,0.01108,-0.99767,0.00481,0.0035,0.00587
1784519494.9410207,-0.01033,0.01384,-0.99671,0.0006,0.00399,0.00428
1784519495.1372168,-0.01091,0.01125,-0.99599,0.00553,0.00575,0.00419
1784519495.3499322,-0.01075,0.01193,-0.99785,0.00403,0.0036,0.00406
1784519495.3622222,-0.01234,0.00973,-0.99751,0.00111,0.00182,0.00519
1784519495.5372183,-0.01129,0.01162,-0.9995,0.00222,0.00352,0.00622
1784519495.541656,-0.01194,0.01234,-0.99561,0.00423,0.00526,0.00515
1784519495.7603219,-0.01211,0.01075,-0.99666,0.00357,0.00383,0.00827
1784519495.7613332,-0.01208,0.01208,-0.99702,0.00793,0.00121,0.00457
1784519495.962026,-0.01306,0.01053,-0.99736,0.00407,0.00401,0.00544
1784519495.9689233,-0.01172,0.01097,-0.99902,0.00416,0.00621,0.00739
1784519496.1633625,-0.01285,0.00974,-0.99776,0.00571,0.00466,0.00866
1784519496.3717806,-0.00907,0.01407,-0.99592,0.00389,0.00448,0.00331
1784519496.3717806,-0.01313,0.01092,-0.99749,0.00561,0.00063,0.00582
1784519496.5483432,-0.01231,0.01182,-0.99689,0.00584,0.00593,0.00775
1784519496.5483432,-0.01143,0.01164,-0.99756,0.00606,0.00463,0.00321
1784519496.7768726,-0.01343,0.01332,-0.99677,0.00491,0.00272,0.007
1784519496.9850206,-0.01173,0.00991,-0.99729,0.00352,0.00548,0.00436
1784519496.9850206,-0.01321,0.01004,-0.99589,0.00607,0.00575,0.00746
1784519497.1801538,-0.01232,0.01187,-0.99808,0.00507,0.00407,0.00839
1784519497.1935575,-0.01142,0.01304,-0.99658,0.00567,0.00355,0.00322
1784519497.3864741,-0.012,0.00993,-0.99689,0.00167,0.00439,0.00783
1784519497.4013147,-0.0101,0.0104,-0.99786,0.0062,0.00144,0.00692
1784519497.5545168,-0.01176,0.01274,-0.99868,0.00847,0.00279,0.00339
1784519497.5545168,-0.01334,0.01144,-0.99796,0.00482,0.00421,0.00945
1784519497.8001409,-0.01068,0.01299,-0.99747,0.00302,0.00321,0.00515
1784519497.8001409,-0.01313,0.01055,-0.99649,0.00384,0.0034,0.0049
1784519498.0083601,-0.01121,0.01182,-1.00039,0.00214,0.00247,0.00469
1784519498.0083601,-0.01118,0.01225,-0.99703,0.00527,0.00345,0.0082
