unix_timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1784519853.9499564,-0.0088,0.00863,-0.99707,0.00607,0.00484,0.0057
1784519854.1428688,-0.00754,0.0074,-0.99762,0.00678,0.00147,0.0038
1784519854.1630073,-0.00883,0.00682,-0.99747,0.00616,0.00498,0.0041
1784519854.352885,-0.00702,0.00844,-0.99607,0.00492,0.00587,0.00279
1784519854.352885,0.23,0.01398,-1.01204,-0.01356,0.01282,-0.03433
1784519854.5579605,0.23585,0.0091,-0.96812,0.00822,-0.00931,0.00382
1784519854.7424448,0.15076,0.01158,-0.97567,0.05614,-0.05282,-0.0068
1784519854.9669023,-0.0451,0.00048,-0.98868,0.0309,0.04285,0.01002
1784519855.173856,0.07136,0.01353,-1.00252,-0.02566,0.04417,0.00239
1784519855.1858912,0.02872,0.01782,-0.95564,0.02211,0.05019,-0.02059
1784519855.3744357,-0.0393,-0.0039,-1.00558,-0.03797,0.03667,-0.0006
1784519855.3813317,-0.05176,0.01271,-0.97042,0.0102,0.0241,-0.00132
1784519855.582702,-0.01191,-0.00086,-0.98026,0.00302,-0.00869,0.00797
1784519855.582702,0.00856,-0.00844,-0.96896,0.04034,-0.03159,0.01347
1784519855.7587774,-0.01699,0.0042,-0.98768,0.02731,0.03127,-0.02764
1784519855.767305,-0.02594,0.0192,-0.9751,0.05108,0.01681,-0.03138
1784519855.9962363,0.00127,0.00272,-1.01859,0.01005,-0.05078,-0.00334
1784519856.0515614,-0.0073,-0.01468,-0.96088,-0.00263,-0.04356,0.01005
1784519856.196889,-0.01931,0.00432,-0.97488,0.03896,0.00317,-0.0022
1784519856.40398,-0.02986,0.01208,-0.98588,0.00585,-0.035,-0.00219
1784519856.408612,-0.02287,0.01163,-1.00363,-0.0213,-0.00889,-0.01413
1784519856.6098523,-0.01051,0.00188,-1.00732,-0.00149,0.0111,0.00954
1784519856.7556443,-0.01586,-0.02287,-1.08108,-0.00568,-0.09465,0.03386
1784519856.7556443,-0.01129,-0.00585,-0.98093,0.00088,-0.00478,-0.01085
1784519856.8030593,-0.01782,0.00614,-0.98845,0.04301,-0.00695,-0.00546
1784519857.0088673,-0.01092,0.00759,-0.99893,-0.04128,-0.02252,0.01345
1784519857.0216322,-0.01157,0.01042,-1.0335,-0.0231,-0.10667,0.00989
