unix_timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1784519641.161493,-0.0103,0.00936,-0.99747,0.00361,0.00419,0.0067
1784519641.3652627,-0.00919,0.00921,-0.99958,0.00341,0.00398,0.00702
1784519641.3709342,0.12718,0.01192,-0.99755,-0.00543,-3e-05,0.01851
1784519641.5727403,-0.19333,0.02314,-0.9962,0.0008,0.01399,-0.00749
1784519641.583584,0.13851,-0.00392,-1.00175,0.00313,0.0227,-0.00427
1784519641.7778516,-0.0375,0.01504,-0.99212,0.03218,-0.00052,-0.01883
1784519641.785618,-0.01851,0.0163,-0.99679,0.00045,0.01451,0.00596
1784519641.9676437,-0.11834,-0.0087,-0.99133,0.00633,0.00566,0.0107
1784519642.1876638,-0.0744,0.01467,-1.01442,-0.01783,-0.00078,0.02472
1784519642.3894365,0.00987,0.01551,-0.99003,0.01516,0.01063,-0.01947
1784519642.5970116,-0.09527,0.02232,-0.98879,0.01759,0.01684,-0.02356
1784519642.6039877,0.11537,0.00208,-1.0068,0.01146,0.00476,0.00097
1784519642.7992153,-0.10325,0.00456,-0.99395,0.00314,0.00785,0.02574
1784519642.8058314,0.03317,0.04578,-0.99434,0.01096,0.01136,-0.02565
1784519642.9707088,0.02519,-0.00367,-1.00168,0.01858,-0.02139,0.00993
1784519642.97781,-0.10579,0.02905,-0.99554,0.0082,0.00504,-0.001
1784519643.2045557,-0.08771,0.01342,-0.99751,0.0213,-0.02267,0.00801
1784519643.4129102,0.04343,0.02662,-0.99621,0.00694,0.00671,-0.01621
1784519643.4129102,0.01062,0.00424,-0.99447,0.00933,-0.00479,0.01069
1784519643.6167753,-0.0979,0.01669,-1.00048,0.00715,0.00143,-0.01765
1784519643.6167753,0.13864,0.02366,-1.00972,0.01009,0.00692,-0.00893
1784519643.8102515,-0.1327,0.0326,-0.98539,0.00846,-0.01349,0.03113
1784519643.9748247,0.0427,-0.01,-1.0049,-0.01066,-0.02516,0.0289
1784519644.015593,-0.07566,0.0087,-0.99572,0.00555,0.00932,0.00364
1784519644.227508,0.05057,0.01069,-1.01521,0.00937,-0.03192,0.0205
1784519644.4347272,0.08142,0.02356,-0.99699,0.00996,0.01285,0.03356
1784519644.632365,-0.04069,0.01041,-0.99705,0.00344,0.0103,-0.00034
1784519644.8416011,0.05073,-0.01093,-1.00024,-0.02318,0.02434,0.07134
1784519645.001637,-0.01517,0.03247,-0.99763,0.01309,-0.02535,-0.03015
1784519645.0174532,-0.03591,0.03239,-0.99713,-0.00374,0.01585,0.00249
1784519645.2530587,-0.0859,0.01702,-0.99822,-0.00941,0.00485,-0.0281
1784519645.4615505,0.03734,-0.01843,-0.99669,0.00791,0.01157,0.01772
1784519645.4615505,-0.03579,0.00396,-1.00245,-0.00545,-0.00279,0.04975
