unix_timestamp,tof1,tof2,tof3,tof4
1784519641.3865738,11587,0,0,0
1784519641.583584,11556,0,0,0
1784519641.9676437,11534,0,0,0
1784519642.1806655,3356,0,0,0
1784519642.3894365,11452,0,0,0
1784519642.3894365,3597,0,0,0
1784519642.6039877,11290,0,0,0
1784519642.8058314,11274,0,0,0
1784519643.2045557,11282,0,0,0
1784519643.2197173,11272,0,0,0
1784519643.4129102,11236,0,0,0
1784519643.6167753,11218,0,0,0
1784519643.8260047,11199,0,0,0
1784519644.227508,11191,0,0,0
1784519644.4347272,11171,0,0,0
1784519644.632365,11166,0,0,0
1784519644.8416011,11136,0,0,0
1784519645.001637,11121,0,0,0
1784519645.2530587,11100,0,0,0
1784519645.2530587,11072,0,0,0
1784519645.4615505,11042,0,0,0
1784519645.6705165,11000,0,0,0
1784519645.8843539,10973,0,0,0
1784519646.0856445,10945,0,0,0
1784519646.2860734,10914,0,0,0
1784519646.4863753,10873,0,0,0
1784519646.6918085,10843,0,0,0
1784519646.8998895,10799,0,0,0
1784519647.092641,10781,0,0,0
1784519647.3144267,10767,0,0,0
1784519647.5109363,10749,0,0,0
1784519647.7146685,10725,0,0,0
1784519647.9224546,10681,0,0,0
1784519648.1139314,10647,0,0,0
1784519648.333472,10647,0,0,0
1784519648.5387576,10636,0,0,0
1784519648.747337,10575,0,0,0
1784519648.939852,10557,0,0,0
1784519649.3458593,10530,0,0,0
1784519649.3617554,10505,0,0,0
1784519649.5578523,10477,0,0,0
1784519649.7625926,10445,0,0,0
1784519649.9610083,10427,0,0,0
1784519650.184543,10396,0,0,0
1784519650.377307,10402,0,0,0
1784519650.5871918,10336,0,0,0
1784519650.780289,10304,0,0,0
1784519650.9827049,10278,0,0,0
1784519651.2050676,10229,0,0,0
1784519651.3963642,10199,0,0,0
1784519651.611167,10151,0,0,0
1784519652.014449,10104,0,0,0
1784519652.014449,10073,0,0,0
1784519652.2221005,10039,0,0,0
1784519652.4154487,10006,0,0,0
1784519652.6275594,9970,0,0,0
1784519652.8354573,9948,0,0,0
1784519653.0291338,9912,0,0,0
1784519653.237159,9879,0,0,0
1784519653.44491,9840,0,0,0
1784519653.6435075,9817,0,0,0
1784519653.8696496,9774,0,0,0
1784519654.0609932,9733,0,0,0
1784519654.259131,9700,0,0,0
1784519654.6781943,9666,0,0,0
1784519654.6781943,9643,0,0,0
1784519654.8825731,9592,0,0,0
1784519655.0917628,9550,0,0,0
1784519655.281452,9509,0,0,0
1784519655.5059423,9468,0,0,0
1784519655.6984148,9416,0,0,0
1784519655.9048603,9389,0,0,0
1784519656.0814729,9348,0,0,0
1784519656.3084054,9315,0,0,0
1784519656.5169206,9281,0,0,0
1784519656.7282844,9243,0,0,0
1784519656.9205534,9191,0,0,0
1784519657.1236928,9159,0,0,0
1784519657.335158,9124,0,0,0
1784519657.54376,9091,0,0,0
1784519657.743424,9062,0,0,0
1784519657.9574697,9033,0,0,0
1784519658.1588202,8992,0,0,0
1784519658.3597,8952,0,0,0
1784519658.5693276,8920,0,0,0
1784519658.7749634,8881,0,0,0
1784519658.9846463,8844,0,0,0
1784519659.1813328,8803,0,0,0
1784519659.381565,8753,0,0,0
1784519659.5891824,8731,0,0,0
1784519659.7996356,8688,0,0,0
1784519660.0052311,8658,0,0,0
1784519660.217432,8603,0,0,0
1784519660.418471,8575,0,0,0
1784519660.6202304,8518,0,0,0
1784519660.8109853,8474,0,0,0
1784519661.0251336,2295,0,0,0
1784519661.2321115,2229,0,0,0
1784519661.4400759,2276,0,0,0
1784519661.6433074,7844,0,0,0
1784519661.8510041,8141,0,0,0
1784519662.0409274,8120,0,0,0
1784519662.251891,8131,0,0,0
1784519662.4563766,8126,0,0,0
1784519662.6619377,8144,0,0,0
1784519662.8718412,8082,0,0,0
1784519663.0762978,8030,0,0,0
1784519663.2803533,8058,0,0,0
1784519663.4719737,8040,0,0,0
1784519663.6885955,3988,0,0,0
1784519663.8940444,3604,0,0,0
1784519664.0991528,3670,0,0,0
1784519664.3025355,3567,0,0,0
1784519664.5102978,3365,0,0,0
1784519664.7086616,3283,0,0,0
1784519664.9114516,3242,0,0,0
1784519665.0262575,3261,0,0,0
