unix_timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1784519907.180739,-0.01751,0.01232,-0.99635,0.00437,0.00504,0.00571
1784519907.180739,-0.01751,0.01232,-0.99635,0.00437,0.00504,0.00571
1784519907.180739,-0.01515,0.01165,-0.99532,0.00439,0.00493,0.00674
1784519907.2017543,-0.01648,0.0102,-0.99749,0.00716,0.00318,0.00693
1784519907.396132,-0.01783,0.00904,-0.99658,0.00122,0.00361,0.00519
1784519907.6027133,0.25612,0.01575,-1.04147,-0.08275,0.03254,-0.031
1784519907.6037443,0.22525,0.00193,-0.98969,0.08386,0.01911,-0.00456
1784519907.7843807,0.18027,0.02097,-1.00963,0.03468,0.02385,0.01036
1784519908.0130172,-0.00569,0.00812,-0.96473,0.00756,0.04184,0.00465
1784519908.0130172,-0.05147,0.00313,-0.98055,0.0133,0.02883,-0.00778
1784519908.2143717,0.0475,0.00843,-0.98349,0.03531,0.04323,0.02434
1784519908.220722,0.02654,0.02034,-0.99081,0.00074,0.00513,0.02198
1784519908.4157894,-0.03966,0.01797,-0.98508,0.02023,0.00542,-0.01538
1784519908.4157894,-0.04151,0.02039,-0.99584,0.03768,-0.00285,-0.03433
1784519908.6242745,-0.00659,0.00881,-0.96819,0.00252,-0.02157,-0.00195
1784519908.6242745,0.0151,0.00919,-0.97047,0.01694,-0.00548,-0.00878
1784519908.778258,0.00047,0.01506,-0.99192,0.04306,-0.01401,-0.00787
1784519908.8063977,-0.02656,0.03447,-1.00982,0.04226,-0.04429,-0.03835
1784519909.0279253,-0.03188,0.00838,-0.99516,0.06148,0.01512,-0.00858
1784519909.0437365,-0.01001,0.00251,-0.96016,0.00163,0.06228,0.00961
1784519909.2307,0.00269,0.02922,-0.99331,-0.03667,0.02076,-0.02145
1784519909.2464933,-0.00641,0.00718,-0.95486,-0.0168,0.06625,0.01652
1784519909.4301455,-0.01282,0.01499,-0.98714,-0.0332,-0.07607,-0.00344
1784519909.4460022,-0.00727,0.01632,-1.00378,0.01824,-0.02714,-0.01484
1784519909.6481051,-0.01111,0.02581,-1.03372,0.03372,-0.08901,-0.01624
1784519909.6603754,-0.02072,0.01146,-0.98972,0.01973,-0.01745,0.01168
1784519909.8047006,-0.01839,0.00159,-0.99431,0.03899,0.0075,0.00692
1784519909.8530805,-0.01284,0.0141,-1.03418,-0.04946,-0.02508,0.01006
1784519910.0600212,-6e-05,0.00243,-1.03232,-0.03941,-0.03426,0.02988
1784519910.0632007,-0.00876,0.01601,-0.98226,0.03248,-0.00351,0.01401
1784519910.2245297,-0.01767,0.00954,-1.02388,0.05484,-0.04696,-0.01574
1784519910.2622263,-0.02545,0.00531,-1.01445,0.04514,0.04483,-0.00149
1784519910.466513,-0.08355,0.0172,-0.99991,0.02546,0.00454,-0.01623
1784519910.466513,-0.26225,-0.00733,-0.98473,-0.00859,-0.03368,-0.02057
1784519910.667378,-0.14118,0.04962,-0.98842,-0.00556,0.03078,0.03911
1784519910.7468874,-0.00721,0.03964,-1.00031,0.01755,0.01253,0.01353
1784519910.8728502,-0.0909,-0.16799,-1.00415,0.01204,0.00847,0.54959
1784519911.0759087,-0.03952,0.03917,-0.99012,0.01508,0.00338,0.38005
1784519911.2896924,0.0051,0.01947,-0.9985,0.01079,0.00746,0.47387
1784519911.4917245,-0.013,0.01352,-0.99684,0.00681,0.00529,0.46013
1784519911.5049672,-0.03622,-0.00488,-0.99411,0.03156,0.01212,0.50764
1784519911.6923392,-0.01335,0.02582,-0.99849,-0.00197,-0.01611,0.53651
1784519911.8172834,-0.02823,-0.00707,-0.9913,0.00709,0.00955,0.59952
1784519911.9008973,-0.00952,0.01138,-0.99853,0.00298,0.00748,0.45416
1784519912.1057897,-0.03678,0.04235,-1.00263,0.01702,-0.00739,0.54072
1784519912.120222,0.00203,0.0393,-0.9952,0.00013,0.00649,0.50025
1784519912.2776039,-0.00054,0.02385,-0.99522,-0.00187,-0.0019,0.5966
1784519912.3051224,-0.02137,-0.0061,-0.98991,0.01582,0.00286,0.56223
1784519912.5183465,-0.03058,-0.01138,-0.99677,0.01799,0.00579,0.55044
1784519912.7211497,0.00114,0.05412,-0.99954,-0.00475,-0.00151,0.50199
1784519912.7211497,-3e-05,0.01772,-0.9956,0.00549,-0.0046,0.56616
1784519912.8246784,-0.01795,-0.04085,-0.98755,0.01276,0.01566,0.56465
1784519912.9289484,-0.00919,-0.00017,-0.98771,-0.00476,0.01029,0.50021
1784519913.1303074,0.00133,0.03183,-0.9951,0.01268,-0.03591,0.58185
1784519913.3292842,0.0156,0.04234,-1.0031,-0.02483,-0.01501,0.53312
1784519913.5370898,-0.0124,-0.01064,-0.9974,0.01023,-0.00133,0.55034
1784519913.7339885,-0.00991,0.03671,-1.00068,-0.00114,-0.00576,0.51202
1784519913.7339885,-0.00704,0.01162,-0.99779,0.01767,0.01374,0.53127
1784519913.8132424,-0.00723,0.02034,-0.99206,-0.00138,0.00391,0.52279
1784519913.9495237,0.01817,0.05952,-0.99706,0.00744,-0.00283,0.20093
1784519914.1548953,-0.01182,0.00243,-0.99672,0.00694,0.00647,0.01061
1784519914.3539095,-0.00918,0.01852,-0.99682,0.00694,0.00498,0.00483
1784519914.3563454,-0.00819,0.01669,-0.99611,0.00561,0.00631,0.00424
1784519914.3816714,-0.00996,0.01037,-1.00035,0.0051,0.00668,0.00779
1784519914.5599487,-0.00919,0.01451,-0.99703,0.00507,0.0039,0.00491
1784519914.7687278,-0.00847,0.01474,-0.99771,0.00471,0.00419,0.0071
1784519914.8247488,-0.01022,0.01357,-0.99841,0.00499,0.00242,0.0041
1784519914.9767098,-0.00883,0.01375,-0.99772,0.00284,0.00385,0.00634
1784519915.1777546,-0.00988,0.01339,-0.9986,0.00612,0.00365,0.00665
1784519915.3266852,-0.00958,0.01492,-0.99705,0.00744,0.00432,0.00565
1784519915.3266852,-0.00942,0.01278,-0.99943,0.00339,0.00443,0.00535
