unix_timestamp,tof1,tof2,tof3,tof4
1784519907.4051456,3113,0,0,0
1784519907.604749,3054,0,0,0
1784519908.0130172,2881,0,0,0
1784519908.0264587,2723,0,0,0
1784519908.220722,2579,0,0,0
1784519908.4157894,2426,0,0,0
1784519908.778258,2275,0,0,0
1784519909.0279253,2116,0,0,0
1784519909.2307,1963,0,0,0
1784519909.4301455,1808,0,0,0
1784519909.6481051,1639,0,0,0
1784519909.6603754,1433,0,0,0
1784519910.0580258,1270,0,0,0
1784519910.2245297,1103,0,0,0
1784519910.466513,934,0,0,0
1784519910.466513,788,0,0,0
1784519910.667378,737,0,0,0
1784519910.8728502,731,0,0,0
1784519911.0759087,732,0,0,0
1784519911.303537,743,0,0,0
1784519911.5049672,769,0,0,0
1784519911.6989775,959,0,0,0
1784519911.9008973,1296,0,0,0
1784519912.122192,1378,0,0,0
1784519912.3061366,1411,0,0,0
1784519912.5266821,1375,0,0,0
1784519912.7211497,956,0,0,0
1784519912.9289484,902,0,0,0
1784519913.1303074,847,0,0,0
1784519913.3292842,845,0,0,0
1784519913.5370898,878,0,0,0
1784519913.7339885,728,0,0,0
1784519913.9495237,734,0,0,0
1784519914.1585193,733,0,0,0
1784519914.3602273,734,0,0,0
1784519914.5599487,732,0,0,0
1784519914.7687278,728,0,0,0
1784519914.9767098,732,0,0,0
1784519915.1840951,730,0,0,0
1784519915.342678,730,0,0,0
