unix_timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1784521425.3429015,-0.01456,0.01558,-0.99657,0.00353,0.00735,0.00809
1784521425.535358,-0.01173,0.01781,-0.99689,0.00464,0.00441,0.00554
1784521425.535358,-0.01341,0.0166,-0.99693,0.00615,0.00475,0.00461
1784521425.7429686,-0.01251,0.01528,-0.99625,0.00604,0.00329,0.00311
1784521425.7429686,-0.01376,0.01539,-0.99671,0.00273,0.00257,0.00547
1784521425.944299,-0.0137,0.01635,-0.99626,0.00303,0.00403,0.00438
1784521425.957838,-0.01313,0.01511,-0.99748,0.00485,0.0078,0.00482
1784521426.1386294,-0.01427,0.01473,-0.99658,0.00742,0.00668,0.00678
1784521426.1456387,-0.01274,0.01542,-0.99656,0.00511,0.00414,0.00717
1784521426.3540294,-0.0127,0.01693,-0.99688,0.00266,0.00466,0.00601
1784521426.3606982,-0.01436,0.01667,-0.99621,0.00417,0.00434,0.00449
1784521426.549653,-0.00455,0.01616,-0.99955,0.00366,0.0088,0.00262
1784521426.5653994,0.10666,0.01516,-0.99482,-0.0098,-0.00103,0.01317
1784521426.75968,0.02912,0.02326,-0.99848,-0.00027,-0.0054,-0.02514
1784521426.7754588,-0.10106,0.01244,-0.99213,0.01197,0.0052,0.02225
1784521426.972032,-0.04656,0.01031,-0.99858,-0.00166,0.00472,0.00341
1784521426.9858177,0.04164,0.01331,-0.9981,-0.00363,0.00465,0.00668
1784521427.1452389,0.03561,0.00662,-1.00347,0.01267,-0.00168,0.01067
1784521427.1737459,-0.02421,0.02914,-0.99747,-0.01141,-0.0013,0.002
1784521427.381636,-0.05298,0.02007,-0.99421,0.00602,-0.00051,0.01389
1784521427.381636,-0.023,0.00538,-0.99809,0.00351,0.00624,0.00051
1784521427.5904176,0.03822,0.02531,-0.99872,-0.0023,-0.00275,-0.01824
1784521427.5970347,-0.02203,0.01615,-1.0013,0.01792,-0.00322,0.01757
1784521427.7768312,-0.04153,0.02856,-0.99774,-0.00249,0.01002,0.00141
1784521427.7926984,-0.04065,0.01607,-0.99336,0.01957,0.00426,-0.00344
1784521427.9853337,0.01589,0.0225,-0.99907,-0.01424,0.00705,-0.01837
1784521428.0015209,-0.0051,0.03044,-0.99129,0.00678,-0.00249,-0.00941
1784521428.1429293,-0.01941,0.01128,-0.99601,0.00824,0.00474,-0.00668
1784521428.1599908,-0.03739,0.02539,-0.98976,0.00297,0.01491,0.00599
1784521428.4002383,0.01605,0.01547,-0.99951,0.01172,-0.00408,0.00124
1784521428.5062885,-0.01594,0.00187,-0.99982,-0.00118,0.00374,0.01385
1784521428.5585139,-0.02875,0.01671,-0.99174,0.02043,0.00728,-0.01488
1784521428.8081717,-0.04471,0.01558,-0.99018,-0.01917,0.01707,0.00819
1784521428.8081717,-0.0147,0.00945,-0.99767,0.00284,0.01249,-0.00282
1784521429.0162008,-0.01162,0.01057,-0.99725,0.01052,0.00589,0.00696
1784521429.0162008,0.00058,0.02284,-0.99774,0.00366,0.00303,-0.00378
1784521429.1587648,-0.0377,0.01794,-0.995,0.01315,-0.00178,-0.00308
1784521429.2223132,-0.02657,0.01476,-0.99688,0.00342,0.00445,-0.01853
1784521429.4309957,-0.02978,0.01741,-1.00085,0.0007,0.01644,0.0003
1784521429.439523,0.00022,0.01276,-0.99675,0.00487,0.01425,0.0107
1784521429.6353076,-0.00986,0.01249,-1.00536,-0.01882,-0.00965,0.01381
1784521429.6436245,-0.03534,0.00643,-0.99595,0.00862,0.01016,-0.01375
1784521429.8389006,-0.02404,0.01669,-0.99703,0.0242,0.00902,-0.00447
1784521429.8470364,-0.01157,0.00668,-0.99831,-0.00016,-0.01418,0.00989
1784521430.0408907,-0.01463,0.01412,-0.99694,0.01383,0.01467,-0.02312
1784521430.0455382,-0.02639,0.00777,-0.99895,-0.00826,0.01187,0.00386
1784521430.1688442,-0.02612,0.01036,-0.99677,0.00541,0.00794,0.00085
1784521430.2435565,-0.01224,0.03332,-1.00244,0.01207,0.00625,-0.022
1784521430.4538007,0.00434,0.02159,-1.00221,-0.00267,0.00265,0.01712
1784521430.657789,-0.0285,0.01288,-0.99365,0.00977,0.01774,0.01622
1784521430.8592274,-0.02049,0.00856,-0.99633,0.01097,0.00438,0.00598
1784521430.8592274,0.00165,0.01778,-0.99638,-0.0012,0.0103,0.00561
1784521430.924459,-0.01032,0.01301,-0.99842,0.0073,0.01012,-0.00261
1784521431.0522428,-0.02232,0.0298,-0.9857,0.0148,0.01223,-0.00871
1784521431.174317,-0.00869,0.02543,-0.99659,0.00742,0.00964,-0.00572
1784521431.270089,-0.00938,0.00875,-1.00332,-0.00927,0.00216,0.00838
1784521431.477421,-0.01027,0.01024,-0.99839,0.00204,-0.0037,0.01189
1784521431.477421,-0.01132,0.02151,-0.99714,0.00307,0.00335,-0.00059
1784521431.6771364,-0.00244,0.0213,-0.98927,0.01574,0.00428,-0.0087
1784521431.8836663,-0.01989,0.0166,-1.00009,0.0074,-0.00159,-0.01185
1784521431.8836663,-0.02421,0.01219,-1.0026,-0.0045,-0.00317,0.00969
1784521432.0934076,-0.0108,0.01026,-0.99678,0.0098,0.01062,0.01475
1784521432.1749923,-0.00373,0.02958,-0.99258,0.00056,-0.00056,-0.00655
1784521432.2910197,-0.01528,0.02132,-0.99835,0.00366,0.01681,-0.01444
1784521432.4994626,-0.03842,0.01795,-1.0078,0.01172,-0.00996,-0.00601
1784521432.4994626,-0.0068,0.01432,-0.99619,0.00074,0.01409,0.00146
1784521432.698248,-0.00662,0.00988,-0.9976,0.00325,0.00614,-0.00193
1784521432.7138934,-0.01472,0.02535,-0.98946,-0.00926,0.00282,0.00886
1784521432.9038773,-0.01155,0.02692,-0.99553,0.00494,0.01712,-0.01533
1784521432.9038773,-0.02586,0.03342,-1.00321,0.01017,-0.00411,0.00073
1784521433.1153545,-0.01905,0.02792,-0.99432,0.01004,0.01643,-0.03093
1784521433.1765606,-0.00914,0.03097,-0.99108,-0.01339,0.01244,-0.0072
1784521433.321376,-0.02452,0.01535,-0.99547,0.00754,0.00585,-0.00359
1784521433.511395,-0.01082,0.01178,-0.99918,0.00575,-0.00159,0.01429
1784521433.527357,0.00501,0.02317,-0.99584,0.00403,0.00624,0.00242
1784521433.7173598,-0.01063,0.01624,-0.99733,-0.00442,0.00552,0.00522
1784521433.785248,-0.03389,0.00096,-0.99854,0.00745,0.0056,0.01977
1784521433.9304962,-0.07113,0.02114,-0.99244,-0.00165,0.01748,0.00707
1784521434.138373,-0.04427,0.02824,-0.99797,0.00524,0.00418,-0.00745
1784521434.1403854,-0.03822,0.01875,-0.99631,0.00397,0.00911,0.00532
1784521434.2059636,-0.01381,0.01509,-0.99686,0.00349,0.00736,0.00747
1784521434.345335,-0.01007,0.01424,-0.99895,0.00578,0.00798,0.0055
1784521434.5476484,-0.01037,0.0164,-0.99692,0.00696,0.00732,0.00503
1784521434.5476484,-0.02072,0.01661,-0.99663,0.00645,0.00246,0.00591
1784521434.7484727,-0.01838,0.01665,-0.99684,0.00474,0.00492,0.00466
1784521434.755139,-0.01401,0.0166,-0.99643,0.00467,0.00699,0.00259
1784521434.9567862,-0.0159,0.01622,-0.99521,0.00497,0.0068,0.00553
1784521434.9567862,-0.01569,0.02255,-0.99462,0.0032,0.00346,-0.00183
1784521435.1568072,-0.02013,0.00303,-0.99839,0.00722,0.00589,0.0188
1784521435.1568072,-0.01424,0.0309,-0.99765,0.00599,-0.00033,-0.01308
1784521435.198476,-0.01526,0.02716,-0.99794,0.00164,0.00248,-0.00023
1784521435.3569405,-0.01265,0.03653,-0.99594,0.00305,0.00256,-0.01279
